time,Site Outdoor Air Drybulb Temperature(Environment),Site Outdoor Air Relative Humidity(Environment),Site Wind Speed(Environment),Site Direct Solar Radiation Rate per Area(Environment),Zone People Occupant Count(SPACE1-1),Zone Air Temperature(SPACE1-1),action
8.75,-6.010971534899834,57.108600785082274,5.521786750578328,524.5200423128692,11.0,20.721901126911224,22.0
13.25,-2.901945322582883,82.88323760124713,9.970109787446924,0.0,8.8,21.17130644389677,22.0
9.75,21.994502107986538,54.50829469976816,4.7405461628916665,259.8639046273506,11.0,22.99322106472465,21.0
14.25,4.294948755642338,98.32504425501624,3.2633233768255177,0.0,11.0,21.745859512193217,22.0
17.0,4.686087433844817,67.12294109908139,7.673645185960135,0.0,11.0,21.65008849145516,22.0
7.75,21.648294573790512,83.17614406995094,4.471397523188459,8.868317282805956,0.0,21.53201345422358,22.0
11.75,-6.824173486310551,56.280201529439566,4.578527558729595,805.5340714714758,8.8,22.867540866031867,22.0
8.25,-0.8836411760182137,57.74801339801184,1.953678402896083,457.9274857210437,11.0,20.48745363390273,21.0
9.0,19.61145836434645,56.89669001039092,3.6344509953650608,762.1154125125548,11.0,23.504241664774064,22.0
9.5,13.617832421278786,69.6006912962594,3.888220062926321,0.0,11.0,23.05789710477113,22.0
11.0,-8.28864566900359,45.73548424435221,2.7831526053881737,794.0949627771724,11.0,22.788990882934154,22.0
17.0,4.973181814705125,92.66333380374134,2.306188219616516,0.0,11.0,21.52112397236461,22.0
9.0,16.01506323215904,82.08032388753811,4.238523502855028,2.803382514132012,11.0,22.488057602457506,22.0
9.0,0.0161269460194609,71.92831818322547,3.0852835787980366,33.426886528721724,11.0,21.287785402092087,21.0
12.5,2.024245910905398,49.75800529816541,3.903231420924071,0.0503004168021386,4.4,21.429652943691146,22.0
16.75,19.553310329082297,55.44294725852839,6.554677428609397,4.557316709434835,11.0,23.03401444614596,22.0
20.75,6.136004588854512,32.4857229716408,4.991612001220008,0.0,1.1,22.78034352381992,16.0
11.25,11.432513082752443,98.52606061279444,4.004453831355566,0.2491388881812887,0.0,20.85005043542904,15.0
10.5,11.90642277105844,86.25559222875398,3.939047333038116,0.2717461774098331,11.0,23.19147179533236,22.0
7.75,5.2503953919631545,63.71738514677498,2.5575958537302017,0.0,0.0,20.697989803775695,22.0
8.25,9.711458817585042,52.32158815528109,1.2221120773118193,823.4634881464335,11.0,23.125514428868374,22.0
11.75,2.075483259899035,50.05194120098834,4.139229113937319,0.1649718567109525,8.8,21.15662749691931,22.0
15.25,9.10677191315163,48.968236985862944,8.530396158394666,494.67629179373984,0.0,23.696058608782337,22.0
16.0,-3.3415281596771407,86.26591223638188,9.259222297593729,0.0,11.0,21.505807263961373,21.0
8.75,-2.0244567929934534,76.22641631826787,3.851248789624698,12.41018615035142,11.0,20.63816891476285,20.0
19.75,7.404576838862571,91.840188033652,6.345415897357185,0.1525565865244262,1.1,23.2110730287495,18.0
18.75,5.816262938069784,86.96666055992382,5.579924948294369,0.0,5.5,21.348784028094613,21.0
11.75,-3.8415578777329378,64.65995920153075,6.890545479845793,386.0862504173453,8.8,21.321852677360443,22.0
11.25,15.14527743017267,68.43442854537487,0.1293565310433799,856.113323061162,0.0,22.85324363232928,16.0
17.5,-4.900697920697481,84.60255570543943,5.008520962865267,0.144638616025021,11.0,21.129118373374187,22.0
10.0,17.502840068403376,67.49315040407672,7.451225530139542,0.0,11.0,23.017555514961312,22.0
8.0,14.242781094772084,66.1249752073639,4.050538665788683,540.5076715195831,0.0,21.76563607651991,22.0
20.5,3.1814812618613058,68.88151838492743,3.283315819766612,0.2243810832672537,1.1,20.97074782544033,18.0
18.75,4.737463359330551,99.9044334044128,3.572432122975804,0.0953358451715896,5.5,22.66753362887897,18.0
9.5,7.17888633437623,65.24245256839713,8.03697429756863,0.3007525351801374,11.0,21.21496285312896,21.0
13.75,11.147965845224618,100.61758828814811,4.774325353146256,0.0,0.0,20.221290272065453,15.0
21.0,9.0084445453268,60.89745573684958,4.0784670941000645,0.0,1.1,22.766398488890893,19.0
20.25,0.9696072272997938,41.149311134242886,0.2693173212477033,0.2013416874635545,0.0,20.77363299615429,15.0
8.75,-1.436684631530062,91.71140792957688,5.895978303878684,0.0817532623959472,11.0,21.39551089932424,21.0
8.25,13.131726478581816,34.77620078872488,0.0,711.733295202864,11.0,25.876469625655997,22.0
11.5,-5.483722456126697,68.6954093239459,5.274851401257473,0.1282373664718168,8.8,21.06335508150937,22.0
16.5,9.272700400356248,90.52762068399085,3.1777928616377973,29.50614924698182,11.0,22.45363587169028,20.0
9.5,12.606846658455268,50.62657068087341,5.542128166004106,306.6863988817497,11.0,23.66977598680724,22.0
7.75,10.803903326485674,92.97023325503672,2.3851333367278147,91.59559408203508,0.0,20.999905202972705,22.0
11.25,-1.9096354277715948,85.98330735454836,9.279666140197886,0.0,8.8,21.25736548632516,22.0
13.0,5.905595330283586,69.9985581418536,1.457306062581581,24.107433797346168,4.4,22.679376814358218,22.0
8.25,23.34407834673044,70.22273803684071,2.1459295219482875,46.67103045475648,11.0,21.32919775868801,22.0
20.0,2.803220335567665,88.44530172321542,5.385198902527709,0.0,1.1,20.830895634712117,21.0
15.5,13.920061422805668,72.1568009852713,3.9081828154788023,0.1576925179656455,0.0,23.240221058167062,17.0
16.25,13.124177714209818,51.93088013069855,7.003960574424252,27.80104129546477,0.0,20.823489726551347,17.0
9.75,1.861911290158772,91.97872228171896,19.135501774381343,0.0,0.0,21.287985009988912,15.0
20.75,-0.362200256394344,60.045265214182095,2.8673615240731927,0.0314013298051833,1.1,20.37920453734456,19.0
9.75,7.118277576404728,74.88861555478259,4.184899825543006,1.5294933525238066,11.0,21.75892685471671,22.0
9.25,17.19781759083305,91.37820376288174,2.4285108786496488,9.387046995381938,0.0,22.89186537610197,15.0
11.0,-4.957994030669363,82.77904471134929,4.739271068705001,0.3430168662370126,11.0,20.75310629808675,22.0
10.5,-8.808982144886944,69.54354477792246,6.24488841795004,674.4654984889785,11.0,18.454521529020205,22.0
8.75,-2.54619467216536,71.27743213998076,0.8022168683522066,506.4285348701004,11.0,20.74657381019727,22.0
7.75,-1.155828389828209,58.674922471311554,0.6307645456843134,267.7612068651512,0.0,20.686183260447464,22.0
15.75,-3.3684478282943293,61.15166478492917,6.484075878353487,0.0,11.0,21.068333408491178,22.0
10.25,-1.8341410966364924,61.96070870144797,5.983124219465892,742.5717641404362,0.0,22.207911952129464,15.0
20.0,7.630906225991489,90.44335969505283,6.178585802700485,0.3375672952760139,1.1,22.984229927750903,21.0
