,obs,action,step
0,17,17.0,1
1,17,18.0,1
2,17,19.0,1
3,17,15.0,1
4,17,16.0,1
5,17,17.0,1
6,17,17.0,1
7,17,19.0,1
8,17,17.0,1
9,17,15.0,1
10,17,17.0,1
11,17,17.0,1
12,17,17.0,1
13,17,16.0,1
14,17,16.0,1
15,17,15.0,1
16,17,18.0,1
17,17,17.0,1
18,17,16.0,1
19,17,15.0,1
20,17,16.0,1
21,17,16.0,1
22,17,16.0,1
23,17,15.0,1
24,17,16.0,1
25,17,22.0,1
26,17,16.0,1
27,17,17.0,1
28,17,15.0,1
29,17,17.0,1
30,17,15.0,2
31,17,15.0,2
32,17,15.0,2
33,17,15.0,2
34,17,15.0,2
35,17,15.0,2
36,17,17.0,2
37,17,16.0,2
38,17,17.0,2
39,17,22.0,2
40,17,17.0,2
41,17,17.0,2
42,17,15.0,2
43,17,16.0,2
44,17,16.0,2
45,17,15.0,2
46,17,15.0,2
47,17,17.0,2
48,17,19.0,2
49,17,15.0,2
50,17,19.0,2
51,17,18.0,2
52,17,16.0,2
53,17,15.0,2
54,17,21.0,2
55,17,15.0,2
56,17,16.0,2
57,17,16.0,2
58,17,20.0,2
59,17,17.0,2
60,17,17.0,3
61,17,15.0,3
62,17,18.0,3
63,17,17.0,3
64,17,15.0,3
65,17,15.0,3
66,17,18.0,3
67,17,16.0,3
68,17,15.0,3
69,17,16.0,3
70,17,19.0,3
71,17,18.0,3
72,17,15.0,3
73,17,15.0,3
74,17,18.0,3
75,17,21.0,3
76,17,15.0,3
77,17,18.0,3
78,17,15.0,3
79,17,19.0,3
80,17,19.0,3
81,17,15.0,3
82,17,22.0,3
83,17,21.0,3
84,17,15.0,3
85,17,15.0,3
86,17,16.0,3
87,17,15.0,3
88,17,15.0,3
89,17,15.0,3
90,17,15.0,4
91,17,17.0,4
92,17,18.0,4
93,17,16.0,4
94,17,15.0,4
95,17,17.0,4
96,17,21.0,4
97,17,15.0,4
98,17,17.0,4
99,17,19.0,4
100,17,15.0,4
101,17,19.0,4
102,17,15.0,4
103,17,18.0,4
104,17,17.0,4
105,17,16.0,4
106,17,17.0,4
107,17,15.0,4
108,17,16.0,4
109,17,17.0,4
110,17,15.0,4
111,17,16.0,4
112,17,16.0,4
113,17,16.0,4
114,17,21.0,4
115,17,20.0,4
116,17,19.0,4
117,17,15.0,4
118,17,21.0,4
119,17,16.0,4
120,17,16.0,5
121,17,16.0,5
122,17,18.0,5
123,17,15.0,5
