,time_overhead
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,886
34,0
35,576
36,579
37,581
38,584
39,581
40,578
41,590
42,573
43,579
44,569
45,567
46,564
47,557
48,553
49,557
50,557
51,550
52,568
53,549
54,550
55,553
56,570
57,558
58,560
59,562
60,556
61,558
62,561
63,568
64,563
65,561
66,565
67,570
68,589
69,568
70,673
71,569
72,564
73,562
74,555
75,561
76,528
77,548
78,514
79,530
80,500
81,501
82,511
83,507
84,466
85,0
86,0
87,0
88,0
89,0
90,0
91,0
92,0
93,0
94,0
95,0
96,0
97,0
98,0
99,0
100,0
101,0
102,0
103,0
104,0
105,0
106,0
107,0
108,0
109,0
110,0
111,0
112,0
113,0
114,0
115,0
116,0
117,0
118,0
119,0
120,0
121,0
122,0
123,0
124,0
125,0
126,0
127,0
128,0
129,0
130,0
131,589
132,0
133,585
134,0
135,587
136,615
137,0
138,593
139,622
140,667
141,623
142,607
143,758
144,612
145,895
146,603
147,601
148,0
149,0
150,0
151,0
152,0
153,0
154,0
155,567
156,591
157,609
158,569
159,566
160,566
161,568
162,583
163,599
164,570
165,569
166,569
167,553
168,556
169,560
170,575
171,566
172,533
173,0
174,521
175,552
176,0
177,529
178,517
179,509
180,0
181,0
182,0
183,0
184,0
185,0
186,0
187,0
188,0
189,0
190,0
191,0
192,0
193,0
194,0
195,0
196,0
197,0
198,0
199,0
200,0
201,0
202,0
203,0
204,0
205,0
206,0
207,0
208,0
209,0
210,0
211,0
212,0
213,0
214,0
215,0
216,0
217,0
218,0
219,0
220,0
221,0
222,0
223,0
224,0
225,0
226,0
227,608
228,0
229,611
230,0
231,598
232,623
233,623
234,625
235,583
236,613
237,595
238,572
239,589
240,605
241,584
242,600
243,605
244,606
245,617
246,610
247,605
248,608
249,608
250,604
251,604
252,583
253,594
254,588
255,597
256,594
257,594
258,589
259,603
260,584
261,581
262,576
263,569
264,561
265,555
266,527
267,520
268,516
269,505
270,508
271,0
272,492
273,0
274,475
275,486
276,0
277,0
278,0
279,0
280,0
281,0
282,0
283,0
284,0
285,0
286,0
287,0
288,0
289,0
290,0
291,0
292,0
293,0
294,0
295,0
296,0
297,0
298,0
299,0
300,0
301,0
302,0
303,0
304,0
305,0
306,0
307,0
308,0
309,0
310,0
311,0
312,0
313,0
314,0
315,0
316,0
317,0
318,0
319,0
320,0
321,0
322,0
323,0
324,0
325,601
326,598
327,571
328,557
329,0
330,566
331,0
332,552
333,642
334,0
335,574
336,569
337,564
338,566
339,557
340,566
341,570
342,568
343,572
344,587
345,0
346,0
347,0
348,0
349,0
350,0
351,0
352,0
353,0
354,0
355,590
356,592
357,677
358,599
359,0
360,604
361,0
362,588
363,0
364,647
365,0
366,586
367,581
368,559
369,552
370,0
371,0
372,508
373,0
374,0
375,0
376,0
377,0
378,0
379,0
380,0
381,0
382,0
383,0
384,0
385,0
386,0
387,0
388,0
389,0
390,0
391,0
392,0
393,0
394,0
395,0
396,0
397,0
398,0
399,0
400,0
401,0
402,0
403,0
404,0
405,0
406,0
407,0
408,0
409,0
410,0
411,0
412,0
413,0
414,0
415,0
416,0
417,0
418,0
419,0
420,0
421,0
422,460
423,0
424,0
425,459
426,0
427,458
428,0
429,458
430,459
431,466
432,465
433,485
434,461
435,468
436,475
437,466
438,0
439,0
440,0
441,0
442,0
443,0
444,0
445,0
446,0
447,0
448,0
449,0
450,0
451,0
452,0
453,464
454,463
455,467
456,466
457,0
458,460
459,0
460,463
461,0
462,458
463,0
464,462
465,0
466,460
467,458
468,0
469,0
470,0
471,0
472,0
473,0
474,0
475,0
476,0
477,0
478,0
479,0
480,0
481,0
482,0
483,0
484,0
485,0
486,0
487,0
488,0
489,0
490,0
491,0
492,0
493,0
494,0
495,0
496,0
497,0
498,0
499,0
500,0
501,0
502,0
503,0
504,0
505,0
506,0
507,0
508,0
509,0
510,0
511,0
512,0
513,0
514,0
515,465
516,0
517,462
518,0
519,467
520,468
521,461
522,458
523,463
524,462
525,467
526,463
527,469
528,464
529,468
530,465
531,461
