,year,month,day,hour,Site Outdoor Air Drybulb Temperature(Environment),Site Outdoor Air Relative Humidity(Environment),Site Wind Speed(Environment),Site Wind Direction(Environment),Site Diffuse Solar Radiation Rate per Area(Environment),Site Direct Solar Radiation Rate per Area(Environment),Zone Thermostat Heating Setpoint Temperature(SPACE1-1),Zone Thermostat Cooling Setpoint Temperature(SPACE1-1),Zone Air Temperature(SPACE1-1),Zone Air Relative Humidity(SPACE1-1),Zone People Occupant Count(SPACE1-1),People Air Temperature(SPACE1-1 PEOPLE 1),Facility Total HVAC Electricity Demand Rate(Whole Building)
0,1997,1,1,0,1.8,95.25,4.1,265.0,0.0,0.0,12.8,40.0,17.2912293866564,49.11165199876976,0.0,0.0,1015.996645708672
1,1997,1,1,0,3.6,95.5,4.1,240.0,0.0,0.0,12.8,40.0,17.24672264535821,49.0852745810491,0.0,0.0,975.9966457086716
2,1997,1,1,0,5.4,95.75,4.1,215.0,0.0,0.0,12.8,40.0,17.06420086009868,49.34415503322319,0.0,0.0,975.9966457086716
3,1997,1,1,1,7.2,96.0,4.1,190.0,0.0,0.0,12.8,40.0,16.95490052365852,49.61069001091649,0.0,0.0,975.9966457086716
4,1997,1,1,1,7.2,96.0,4.35,197.5,0.0,0.0,12.8,40.0,16.90168232860088,49.85885995125135,0.0,0.0,975.9966457086716
5,1997,1,1,1,7.2,96.0,4.6,205.0,0.0,0.0,12.8,40.0,16.86123131116345,50.01292220759048,0.0,0.0,975.9966457086716
6,1997,1,1,1,7.2,96.0,4.85,212.5,0.0,0.0,12.8,40.0,16.82502213566384,50.13181442823797,0.0,0.0,975.9966457086716
7,1997,1,1,2,7.2,96.0,5.1,220.0,0.0,0.0,12.8,40.0,16.79209605045524,50.25291921284026,0.0,0.0,975.9966457086716
8,1997,1,1,2,7.2,96.0,4.975,220.0,0.0,0.0,12.8,40.0,16.76547188119039,50.35946684151185,0.0,0.0,975.9966457086716
9,1997,1,1,2,7.2,96.0,4.85,220.0,0.0,0.0,12.8,40.0,16.74432063288757,50.4427695652262,0.0,0.0,975.9966457086716
10,1997,1,1,2,7.2,96.0,4.725,220.0,0.0,0.0,12.8,40.0,16.7269951534517,50.50978912573252,0.0,0.0,975.9966457086716
11,1997,1,1,3,7.2,96.0,4.6,220.0,0.0,0.0,12.8,40.0,16.7127912381844,50.56698036356775,0.0,0.0,975.9966457086716
12,1997,1,1,3,7.325,95.25,4.725,225.0,0.0,0.0,12.8,40.0,16.70217174590542,50.6266385549189,0.0,0.0,975.9966457086716
13,1997,1,1,3,7.45,94.5,4.85,230.0,0.0,0.0,12.8,40.0,16.69480215823955,50.67548056279675,0.0,0.0,975.9966457086716
14,1997,1,1,3,7.575,93.75,4.975,235.0,0.0,0.0,12.8,40.0,16.69001168855956,50.71532698686678,0.0,0.0,975.9966457086716
15,1997,1,1,4,7.7,93.0,5.1,240.0,0.0,0.0,12.8,40.0,16.68745633613658,50.74771656192299,0.0,0.0,975.9966457086716
16,1997,1,1,4,7.7,93.0,5.1,240.0,0.0,0.0,12.8,40.0,16.68466061205652,50.76738231312136,0.0,0.0,975.9966457086716
17,1997,1,1,4,7.7,93.0,5.1,240.0,0.0,0.0,12.8,40.0,16.68158079704657,50.78741409234416,0.0,0.0,975.9966457086716
18,1997,1,1,4,7.7,93.0,5.1,240.0,0.0,0.0,12.8,40.0,16.67868030095211,50.80642909937146,0.0,0.0,975.9966457086716
19,1997,1,1,5,7.7,93.0,5.1,240.0,0.0,0.0,12.8,40.0,16.67625227620116,50.82357094079024,0.0,0.0,975.9966457086716
20,1997,1,1,5,7.7,93.0,5.225,240.0,0.0,0.0,12.8,40.0,16.67342591635011,50.84178799202318,0.0,0.0,975.9966457086716
21,1997,1,1,5,7.7,93.0,5.35,240.0,0.0,0.0,12.8,40.0,16.67025379836815,50.86093782486801,0.0,0.0,975.9966457086716
22,1997,1,1,5,7.7,93.0,5.475,240.0,0.0,0.0,12.8,40.0,16.66695998843166,50.88029378903867,0.0,0.0,975.9966457086716
23,1997,1,1,6,7.7,93.0,5.6,240.0,0.0,0.0,12.8,40.0,16.66362884826882,50.89960024021346,0.0,0.0,975.9966457086716
24,1997,1,1,6,7.7,93.0,5.725,240.0,0.0,0.0,12.8,40.0,16.60673752820423,51.14292203029651,0.0,0.0,250.3445429082835
25,1997,1,1,6,7.7,93.0,5.85,240.0,0.0,0.0,12.8,40.0,16.58542353715015,51.28585829088787,0.0,0.0,250.3445429082835
26,1997,1,1,6,7.7,93.0,5.975,240.0,0.0,0.0,12.8,40.0,16.57647178644667,51.37756991058075,0.0,0.0,250.3445429082835
27,1997,1,1,7,7.7,93.0,6.1,240.0,0.0,0.0,12.8,40.0,16.56653567856174,51.45900401698646,0.0,0.0,250.3445429082835
28,1997,1,1,7,7.7,93.0,6.1,242.5,0.0,0.0,21.1,23.9,18.61690273340714,45.28924850682105,0.0,0.0,250.3445429082834
29,1997,1,1,7,7.7,93.0,6.1,245.0,0.0,0.0,21.1,23.9,20.27911608728325,40.86493519106767,0.0,0.0,250.3445429082834
30,1997,1,1,7,7.7,93.0,6.1,247.5,0.0,0.0,21.10000000000001,23.9,20.91251839766282,39.31184484866524,0.0,0.0,250.3445429082836
31,1997,1,1,8,7.7,93.0,6.1,250.0,10.5,0.0,21.1,23.9,21.09378691860771,38.89006907766431,0.0,0.0,250.3445429082835
32,1997,1,1,8,7.7,93.0,6.374999999999999,250.0,15.75,0.0,21.1,23.9,21.09992005760312,40.06390616776475,11.0,0.0,881.3219355816269
33,1997,1,1,8,7.7,93.0,6.65,250.0,21.0,0.0,21.1,23.9,21.10009518719202,40.80631783760079,11.0,0.0,881.3219355816269
34,1997,1,1,8,7.7,93.0,6.925000000000001,250.0,25.25,0.0,21.1,23.9,21.10011143602348,42.08253121781672,11.0,0.0,881.3219355816269
35,1997,1,1,9,7.7,93.0,7.2,250.0,29.5,0.0,21.1,23.9,21.10012790501663,43.06003294051366,11.0,0.0,881.3219355816269
36,1997,1,1,9,7.7,93.0,7.050000000000001,252.5,33.75,0.0,21.1,23.9,21.0999361402797,43.2545273532469,11.0,0.0,881.3219355816269
37,1997,1,1,9,7.7,93.0,6.9,255.0,38.0,0.0,21.1,23.9,21.09985262821009,43.97281005978131,11.0,0.0,881.3219355816269
38,1997,1,1,9,7.7,93.0,6.749999999999999,257.5,43.5,0.0,21.1,23.9,21.09977828505901,44.59317767726226,11.0,0.0,881.3219355816269
39,1997,1,1,10,7.7,93.0,6.6,260.0,49.0,0.0,21.1,23.9,21.11220549721934,44.9594109593455,11.0,0.0,881.3219355816269
40,1997,1,1,10,7.7,93.0,6.475,260.0,54.5,0.0,21.1,23.9,21.17666066158286,45.06264579574354,11.0,0.0,881.3219355816269
41,1997,1,1,10,7.7,93.0,6.35,260.0,60.0,0.0,21.1,23.9,21.25993168237458,45.09614995232471,11.0,0.0,881.3219355816269
42,1997,1,1,10,7.7,93.0,6.225,260.0,63.75,0.0,21.1,23.9,21.33934619842657,45.13695334201832,11.0,0.0,881.3219355816269
43,1997,1,1,11,7.7,93.0,6.1,260.0,67.5,0.0,21.1,23.9,21.41260309182163,45.17565059073193,11.0,0.0,881.3219355816269
44,1997,1,1,11,7.7,93.0,6.1,257.5,71.25,0.0,21.1,23.9,21.45398202496143,45.14746378067231,8.8,0.0,774.3811044257532
45,1997,1,1,11,7.7,93.0,6.1,255.0,75.0,0.0,21.1,23.9,21.49836817303287,45.07238250289182,8.8,0.0,774.3811044257532
46,1997,1,1,11,7.7,93.0,6.1,252.5,80.25,0.0,21.1,23.9,21.54706171849078,45.00021553225236,8.8,0.0,774.3811044257532
47,1997,1,1,12,7.7,93.0,6.1,250.0,85.5,0.0,21.1,23.9,21.59577045376021,44.92569187200687,8.8,0.0,774.3811044257532
48,1997,1,1,12,7.850000000000001,91.25,5.975,252.5,90.75,0.0,21.1,23.9,21.58580412422532,44.66284820815932,4.4,0.0,488.4224319647699
49,1997,1,1,12,8.0,89.5,5.85,255.0,96.0,0.0,21.1,23.9,21.59372956702817,44.22999750186462,4.4,0.0,488.4224319647699
50,1997,1,1,12,8.15,87.75,5.725,257.5,93.75,0.0,21.1,23.9,21.61080259331998,43.80755923915463,4.4,0.0,488.4224319647699
51,1997,1,1,13,8.3,86.0,5.6,260.0,91.5,0.0,21.1,23.9,21.62733331623762,43.4216417735657,4.4,0.0,488.4224319647699
52,1997,1,1,13,8.15,86.0,5.85,260.0,89.25,0.0,21.1,23.9,21.68429994934934,43.23312876262263,8.8,0.0,774.3811044257532
53,1997,1,1,13,8.0,86.0,6.1,260.0,87.0,0.0,21.1,23.9,21.71294056580936,43.14066264273117,8.8,0.0,774.3811044257532
54,1997,1,1,13,7.850000000000001,86.0,6.35,260.0,85.0,0.0,21.1,23.9,21.72681764842713,42.98994476182576,8.8,0.0,774.3811044257532
