,year,month,day,hour,Site Outdoor Air Drybulb Temperature(Environment),Site Outdoor Air Relative Humidity(Environment),Site Wind Speed(Environment),Site Wind Direction(Environment),Site Diffuse Solar Radiation Rate per Area(Environment),Site Direct Solar Radiation Rate per Area(Environment),Zone Thermostat Heating Setpoint Temperature(SPACE1-1),Zone Thermostat Cooling Setpoint Temperature(SPACE1-1),Zone Air Temperature(SPACE1-1),Zone Air Relative Humidity(SPACE1-1),Zone People Occupant Count(SPACE1-1),People Air Temperature(SPACE1-1 PEOPLE 1),Facility Total HVAC Electricity Demand Rate(Whole Building)
0,1997,1,1,0,1.8,95.25,4.1,265.0,0.0,0.0,21.0,21.0,20.99999281791027,39.30991802284748,0.0,0.0,777.6116918843901
1,1997,1,1,0,3.6,95.5,4.1,240.0,0.0,0.0,17.0,28.0,19.8953692742619,41.97063263332278,0.0,0.0,737.6116918843901
2,1997,1,1,0,5.4,95.75,4.1,215.0,0.0,0.0,16.0,29.0,18.79126297152605,44.45534521610095,0.0,0.0,737.6116918843901
3,1997,1,1,1,7.2,96.0,4.1,190.0,0.0,0.0,19.0,26.0,18.98850665509146,43.9515659721977,0.0,0.0,737.6116918843901
4,1997,1,1,1,7.2,96.0,4.35,197.5,0.0,0.0,15.0,30.0,18.4205438743781,45.60825144933409,0.0,0.0,737.6116918843901
5,1997,1,1,1,7.2,96.0,4.6,205.0,0.0,0.0,22.0,23.0,20.33922285659832,40.51832970868902,0.0,0.0,737.6116918843901
6,1997,1,1,1,7.2,96.0,4.85,212.5,0.0,0.0,18.0,27.0,18.97839639782363,44.08079144434947,0.0,0.0,737.61169188439
7,1997,1,1,2,7.2,96.0,5.1,220.0,0.0,0.0,16.0,29.0,18.34007739669478,45.8918947283409,0.0,0.0,737.6116918843901
8,1997,1,1,2,7.2,96.0,4.975,220.0,0.0,0.0,22.0,23.0,20.2461537710995,40.79825344278197,0.0,0.0,737.6116918843901
9,1997,1,1,2,7.2,96.0,4.85,220.0,0.0,0.0,16.0,29.0,18.89690284354622,44.35323920840165,0.0,0.0,737.61169188439
10,1997,1,1,2,7.2,96.0,4.725,220.0,0.0,0.0,22.0,23.0,20.56606356100852,40.01326101389067,0.0,0.0,737.6116918843901
11,1997,1,1,3,7.2,96.0,4.6,220.0,0.0,0.0,18.0,27.0,19.10590557712091,43.80915278610022,0.0,0.0,737.61169188439
12,1997,1,1,3,7.325,95.25,4.725,225.0,0.0,0.0,16.0,29.0,18.4212686264125,45.74710422311069,0.0,0.0,737.6116918843901
13,1997,1,1,3,7.45,94.5,4.85,230.0,0.0,0.0,19.0,26.0,18.96822284415244,44.2220153416076,0.0,0.0,737.6116918843901
14,1997,1,1,3,7.575,93.75,4.975,235.0,0.0,0.0,21.0,21.0,20.49967903301771,40.26121019264909,0.0,0.0,737.6116918843901
15,1997,1,1,4,7.7,93.0,5.1,240.0,0.0,0.0,20.0,25.0,20.02751388466969,41.45078575366031,0.0,0.0,737.6116918843901
16,1997,1,1,4,7.7,93.0,5.1,240.0,0.0,0.0,21.0,21.0,20.89304631446368,39.30873666239501,0.0,0.0,737.61169188439
17,1997,1,1,4,7.7,93.0,5.1,240.0,0.0,0.0,17.0,28.0,19.31909806514326,43.36899811201265,0.0,0.0,737.6116918843901
18,1997,1,1,4,7.7,93.0,5.1,240.0,0.0,0.0,19.0,26.0,19.01753510804075,44.17812226176108,0.0,0.0,737.6116918843901
19,1997,1,1,5,7.7,93.0,5.1,240.0,0.0,0.0,18.0,27.0,18.47459934892283,45.7294778542944,0.0,0.0,737.6116918843901
20,1997,1,1,5,7.7,93.0,5.225,240.0,0.0,0.0,22.0,23.0,20.37449375704536,40.67259430783138,0.0,0.0,737.6116918843901
21,1997,1,1,5,7.7,93.0,5.35,240.0,0.0,0.0,15.0,30.0,19.01228675448485,44.24460244777688,0.0,0.0,737.61169188439
22,1997,1,1,5,7.7,93.0,5.475,240.0,0.0,0.0,20.0,25.0,19.87087070914719,41.95409830275,0.0,0.0,737.61169188439
23,1997,1,1,6,7.7,93.0,5.6,240.0,0.0,0.0,15.0,30.0,18.78546115007312,44.91614282104135,0.0,0.0,737.61169188439
24,1997,1,1,6,7.7,93.0,5.725,240.0,0.0,0.0,17.0,28.0,18.17741531092168,46.66964698261334,0.0,0.0,189.1984595034378
25,1997,1,1,6,7.7,93.0,5.85,240.0,0.0,0.0,20.0,24.99999999999999,19.80975379397202,42.17160774800605,0.0,0.0,189.1984595034377
26,1997,1,1,6,7.7,93.0,5.975,240.0,0.0,0.0,17.0,28.0,18.82263889064037,44.84260201427017,0.0,0.0,189.1984595034378
27,1997,1,1,7,7.7,93.0,6.1,240.0,0.0,0.0,19.0,26.0,18.99557363550726,44.37744694407794,0.0,0.0,189.1984595034378
28,1997,1,1,7,7.7,93.0,6.1,242.5,0.0,0.0,16.0,29.0,18.35154519608041,46.23411101799256,0.0,0.0,189.1984595034378
29,1997,1,1,7,7.7,93.0,6.1,245.0,0.0,0.0,21.0,21.0,20.43782617794825,40.659513766706,0.0,0.0,189.1984595034377
30,1997,1,1,7,7.7,93.0,6.1,247.5,0.0,0.0,22.0,22.0,21.79668793063943,37.38748655959246,0.0,0.0,189.1984595034377
31,1997,1,1,8,7.7,93.0,6.1,250.0,10.5,0.0,18.0,27.0,19.97663516388823,41.85580411307922,0.0,0.0,189.1984595034378
32,1997,1,1,8,7.7,93.0,6.374999999999999,250.0,15.75,0.0,19.0,26.0,19.81457605197267,43.3163461779663,11.0,0.0,667.5731408848375
33,1997,1,1,8,7.7,93.0,6.65,250.0,21.0,0.0,20.0,25.0,19.9958161121277,43.55895845532417,11.0,0.0,667.5731408848374
34,1997,1,1,8,7.7,93.0,6.925000000000001,250.0,25.25,0.0,18.0,27.0,20.06569728843255,43.96991348240486,11.0,0.0,667.5731408848375
35,1997,1,1,9,7.7,93.0,7.2,250.0,29.5,0.0,21.0,24.0,20.97524085036411,42.16673774839454,11.0,0.0,667.5731408848374
36,1997,1,1,9,7.7,93.0,7.050000000000001,252.5,33.75,0.0,18.0,27.0,20.90980886102293,42.91527195006449,11.0,0.0,667.5731408848375
37,1997,1,1,9,7.7,93.0,6.9,255.0,38.0,0.0,19.0,26.0,21.03796926669331,43.63398986715904,11.0,0.0,667.5731408848375
38,1997,1,1,9,7.7,93.0,6.749999999999999,257.5,43.5,0.0,15.0,30.0,21.18249826803186,43.9760368167307,11.0,0.0,667.5731408848375
39,1997,1,1,10,7.7,93.0,6.6,260.0,49.0,0.0,15.0,30.0,21.33299522187932,44.1460026263324,11.0,0.0,667.5731408848375
40,1997,1,1,10,7.7,93.0,6.475,260.0,54.5,0.0,17.0,28.0,21.48153528413158,44.2039366909856,11.0,0.0,667.5731408848375
41,1997,1,1,10,7.7,93.0,6.35,260.0,60.0,0.0,20.0,25.0,21.61788379250292,44.22314696700687,11.0,0.0,667.5731408848375
42,1997,1,1,10,7.7,93.0,6.225,260.0,63.75,0.0,21.0,21.0,21.69092030307513,44.26452960668148,11.0,0.0,737.6116918843901
43,1997,1,1,11,7.7,93.0,6.1,260.0,67.5,0.0,21.0,24.0,21.81192322935604,44.21074884147747,11.0,0.0,667.5731408848375
44,1997,1,1,11,7.7,93.0,6.1,257.5,71.25,0.0,16.0,29.0,21.89671958371467,44.12717321904339,8.8,0.0,586.6688027224186
45,1997,1,1,11,7.7,93.0,6.1,255.0,75.0,0.0,18.0,27.0,21.9680066559747,44.02391412554824,8.8,0.0,586.6688027224186
46,1997,1,1,11,7.7,93.0,6.1,252.5,80.25,0.0,22.0,22.0,21.99582203071958,43.95274236262957,8.8,0.0,703.6888029651623
47,1997,1,1,12,7.7,93.0,6.1,250.0,85.5,0.0,19.0,26.0,22.06866060771045,43.81467934482482,8.8,0.0,586.6688027224186
48,1997,1,1,12,7.850000000000001,91.25,5.975,252.5,90.75,0.0,16.0,29.0,22.0754284366963,43.51227322749493,4.4,0.0,369.1263673700772
49,1997,1,1,12,8.0,89.5,5.85,255.0,96.0,0.0,16.0,29.0,22.08885389613729,43.0353415101204,4.4,0.0,369.1263673700772
50,1997,1,1,12,8.15,87.75,5.725,257.5,93.75,0.0,20.0,25.0,22.11134772636041,42.54562163951794,4.4,0.0,369.1263673700772
51,1997,1,1,13,8.3,86.0,5.6,260.0,91.5,0.0,21.0,21.0,21.91452719982591,42.32880554520739,4.4,0.0,737.6116918843901
52,1997,1,1,13,8.15,86.0,5.85,260.0,89.25,0.0,19.0,26.0,22.03435770826911,41.89174099448739,8.8,0.0,586.6688027224186
53,1997,1,1,13,8.0,86.0,6.1,260.0,87.0,0.0,22.0,23.0,22.18241371905531,41.62763422697221,8.8,0.0,586.6688027224186
54,1997,1,1,13,7.850000000000001,86.0,6.35,260.0,85.0,0.0,18.0,27.0,22.25022881114027,41.49781127991493,8.8,0.0,586.6688027224186
55,1997,1,1,14,7.7,86.0,6.6,260.0,83.0,0.0,22.0,23.0,22.27631627579091,41.35427129717914,8.8,0.0,586.6688027224186
56,1997,1,1,14,7.575,86.0,6.749999999999999,262.5,81.0,0.0,20.0,25.0,22.29074702048974,41.33741410311112,11.0,0.0,667.5731408848375
57,1997,1,1,14,7.45,86.0,6.9,265.0,79.0,0.0,21.0,24.0,22.30935212131529,41.31538657184187,11.0,0.0,667.5731408848375
58,1997,1,1,14,7.325,86.0,7.050000000000001,267.5,71.75,0.0,15.0,30.0,22.3224535838732,41.24894527438649,11.0,0.0,667.5731408848375
59,1997,1,1,15,7.2,86.0,7.2,270.0,64.5,0.0,21.0,24.0,22.32466948834591,41.1571047433979,11.0,0.0,667.5731408848375
60,1997,1,1,15,7.050000000000001,85.0,7.325,270.0,57.25,0.0,22.0,22.0,22.21280761793649,41.12400385915096,11.0,0.0,737.6116918843901
61,1997,1,1,15,6.9,84.0,7.45,270.0,50.0,0.0,16.0,29.0,22.17160725350886,40.89541723902873,11.0,0.0,667.5731408848375
62,1997,1,1,15,6.749999999999999,83.0,7.575,270.0,42.0,0.0,17.0,28.0,22.15482497335604,40.58150603128342,11.0,0.0,667.5731408848375
63,1997,1,1,16,6.6,82.0,7.7,270.0,34.0,0.0,19.0,26.0,22.1243468610279,40.2459583627634,11.0,0.0,667.5731408848375
64,1997,1,1,16,6.324999999999999,83.0,7.575,272.5,26.0,0.0,20.0,25.0,21.98399394837734,40.19488155985057,11.0,0.0,667.5731408848375
65,1997,1,1,16,6.05,84.0,7.45,275.0,18.0,0.0,21.0,24.0,21.86238011180549,40.12189931117685,11.0,0.0,667.5731408848375
66,1997,1,1,16,5.775,85.0,7.325,277.5,13.5,0.0,16.0,29.0,21.78064173369109,39.96376086099266,11.0,0.0,667.5731408848375
67,1997,1,1,17,5.5,86.0,7.2,280.0,0.0,0.0,21.0,21.0,21.65370231169837,39.80584007589253,11.0,0.0,737.6116918843901
68,1997,1,1,17,5.225,86.75,7.050000000000001,280.0,0.0,0.0,16.0,29.0,21.59067303713173,39.58524738606317,11.0,0.0,667.5731408848375
69,1997,1,1,17,4.95,87.5,6.9,280.0,0.0,0.0,22.0,23.0,21.979451483153,38.5289869485506,11.0,0.0,667.5731408848375
70,1997,1,1,17,4.675000000000001,88.25,6.749999999999999,280.0,0.0,0.0,16.0,29.0,21.76936934709466,38.80443720100366,11.0,0.0,667.5731408848375
71,1997,1,1,18,4.4,89.0,6.6,280.0,0.0,0.0,18.0,27.0,21.54468329712256,39.00202195320654,11.0,0.0,667.5731408848375
72,1997,1,1,18,4.25,88.25,6.475,285.0,0.0,0.0,16.0,29.0,21.01318812546834,40.00950937164742,5.5,0.0,737.6116918843901
73,1997,1,1,18,4.1,87.5,6.35,290.0,0.0,0.0,22.0,22.0,21.97171906773857,37.39644333338327,5.5,0.0,737.61169188439
74,1997,1,1,18,3.95,86.75,6.225,295.0,0.0,0.0,21.0,21.0,21.87393644876471,38.45215574218267,5.5,0.0,737.6116918843901
