,time_overhead
0,1
1,0
2,0
3,0
4,1
5,1
6,2
7,1
8,2
9,1
10,1
11,0
12,1
13,1
14,1
15,1
16,1
17,1
18,1
19,0
20,0
21,0
22,1
23,1
24,0
25,0
26,0
27,1
28,1
29,0
30,1
31,1
32,1
33,0
34,1
35,1
36,1
37,1
38,1
39,1
40,0
41,0
42,0
43,1
44,0
45,0
46,0
47,0
48,0
49,1
50,1
51,0
52,0
53,0
54,1
55,1
56,0
57,0
58,0
59,2
60,2
61,1
62,1
63,1
64,0
65,1
66,1
67,0
68,0
69,1
70,1
71,1
72,0
73,0
74,0
75,0
76,1
77,1
78,1
79,1
80,1
81,0
82,0
83,0
84,0
85,0
86,0
87,0
88,0
89,0
90,1
91,1
92,1
93,0
94,0
95,0
96,0
97,0
98,0
99,0
100,1
101,1
102,1
103,0
104,0
105,1
106,1
107,1
108,2
109,1
110,1
111,1
112,1
113,1
114,0
115,0
116,0
117,1
118,0
119,0
120,1
121,1
122,1
123,0
124,0
125,1
126,1
127,1
128,2
129,1
130,0
131,0
132,0
133,0
134,0
135,0
136,0
137,0
138,0
139,0
140,1
141,1
142,0
143,0
144,1
145,0
146,2
147,0
148,1
149,0
150,0
151,0
152,0
153,0
154,2
155,1
156,1
157,0
158,0
159,0
160,0
161,0
162,0
163,0
164,0
165,0
166,1
167,1
168,0
169,0
170,0
171,0
172,0
173,0
174,0
175,1
176,0
177,0
178,0
179,1
180,1
181,0
182,0
183,0
184,0
185,0
186,1
187,1
188,2
189,1
190,0
191,0
192,0
193,0
194,0
195,1
196,1
197,1
198,1
199,0
200,1
201,0
202,0
203,1
204,2
205,1
206,1
207,1
208,1
209,1
210,1
211,1
212,1
213,0
214,1
215,0
216,0
217,0
218,0
219,0
220,0
221,0
222,0
223,0
224,0
225,0
226,1
227,1
228,1
229,1
230,0
231,0
232,0
233,0
234,0
235,1
236,0
237,0
238,0
239,0
240,0
241,0
242,0
243,0
244,2
245,1
246,1
247,0
248,1
249,0
250,0
251,0
252,0
253,0
254,0
255,1
256,1
257,0
258,0
259,0
260,0
261,0
262,0
263,1
264,0
265,0
266,0
267,1
268,0
269,0
270,0
271,0
272,0
273,0
274,0
275,0
276,0
277,0
278,0
279,1
280,1
281,1
282,1
283,0
284,1
285,1
286,1
287,0
288,0
289,1
290,1
291,1
292,0
293,1
294,0
295,0
296,0
297,0
298,0
299,0
300,3
301,1
302,0
303,0
304,1
305,0
306,0
307,0
308,0
309,0
310,1
311,1
312,1
313,1
314,0
315,0
316,1
317,0
318,0
319,1
320,1
321,1
322,1
323,1
324,1
325,0
326,1
327,1
328,1
329,0
330,0
331,0
332,1
333,1
334,0
335,0
336,0
337,0
338,0
339,0
340,0
341,0
342,1
343,1
344,0
345,1
346,1
347,1
348,1
349,1
350,1
351,0
352,0
353,0
354,0
355,1
356,0
357,0
358,0
359,0
360,0
361,0
362,0
363,0
364,0
365,1
366,0
367,1
368,0
369,0
370,0
371,0
372,0
373,1
374,0
375,0
376,0
377,0
378,1
379,1
380,1
381,1
382,1
383,1
384,2
385,1
386,0
387,1
388,0
389,0
390,0
391,0
392,0
393,0
394,0
395,0
396,0
397,1
398,1
399,1
400,1
401,1
402,1
403,1
404,1
405,2
406,1
407,1
408,1
409,1
410,1
411,1
412,1
413,1
414,1
415,1
416,0
417,0
418,0
419,1
420,1
421,1
422,0
423,0
424,0
425,0
426,0
427,0
428,0
429,0
430,1
431,0
432,0
433,1
434,1
435,0
436,0
437,0
438,0
439,0
440,0
441,1
442,2
443,1
444,1
445,0
446,0
447,0
448,0
449,0
450,1
451,1
452,1
453,1
454,1
455,1
456,1
457,1
458,1
459,2
460,1
461,1
462,0
463,2
464,1
465,0
466,0
467,1
468,1
469,1
470,1
471,1
472,1
473,0
474,0
475,0
476,0
477,0
478,0
479,0
480,1
481,0
482,0
483,0
484,0
485,0
486,0
487,1
488,2
489,0
490,0
491,0
492,1
493,1
494,0
495,1
496,1
497,1
498,1
499,1
500,0
501,1
502,0
503,1
504,1
505,1
506,1
507,1
508,1
509,1
510,0
511,1
512,2
513,1
514,1
515,1
516,1
517,1
518,1
519,1
520,1
521,1
522,1
523,1
524,0
525,1
526,1
527,0
528,1
529,1
530,1
531,0
532,0
533,0
534,1
535,0
536,0
537,1
538,2
539,0
540,0
541,0
542,0
543,0
544,0
545,1
546,0
547,0
548,0
549,0
550,0
551,0
552,0
553,1
554,1
555,1
556,1
557,0
558,0
559,0
560,0
561,0
562,0
563,0
564,1
565,1
566,0
567,0
568,1
569,0
570,1
571,1
572,1
573,0
574,1
575,1
576,1
577,1
578,1
579,0
580,0
581,1
582,1
583,1
584,1
585,0
586,0
587,1
588,2
589,1
590,0
591,0
592,1
593,1
594,0
595,1
596,0
597,1
598,1
599,1
600,1
601,1
602,1
603,0
604,1
605,1
606,1
607,0
608,0
609,0
610,1
611,0
612,0
613,1
614,2
615,1
616,0
617,1
618,0
619,0
620,0
621,0
622,0
623,0
624,1
625,1
626,1
627,1
628,1
629,0
630,0
631,0
632,0
633,0
634,2
635,2
636,0
637,0
638,0
639,0
640,0
641,0
642,0
643,0
644,0
645,0
646,0
647,0
648,0
649,0
650,1
651,0
652,0
653,1
654,0
655,0
656,1
657,0
658,0
659,0
660,0
661,0
662,1
663,1
664,1
665,0
666,1
667,0
668,0
669,0
670,0
671,0
672,2
673,1
674,1
675,0
676,0
677,1
678,0
679,0
680,0
681,0
682,0
683,1
684,0
685,0
686,0
687,1
688,1
689,1
690,0
691,1
692,2
693,0
694,0
695,0
696,0
697,0
698,1
699,1
700,0
701,0
702,0
703,1
704,1
705,0
706,1
707,1
708,1
709,0
710,1
711,0
712,1
713,1
714,0
715,0
716,0
717,1
718,1
719,0
720,0
721,0
722,0
723,0
724,0
725,0
726,0
727,0
728,0
729,1
730,1
731,0
732,1
733,1
734,2
735,1
736,0
737,0
738,1
739,0
740,1
741,0
742,1
743,1
744,0
745,1
746,0
747,1
748,2
749,0
750,0
751,1
752,0
753,0
754,0
755,0
756,0
757,0
758,0
759,1
760,0
761,0
762,0
763,0
764,0
765,0
766,0
767,1
768,1
769,1
770,1
771,0
772,0
773,0
774,0
775,0
776,0
777,0
778,0
779,0
780,0
781,0
782,0
783,0
784,0
785,0
786,0
787,2
788,1
789,0
790,1
791,1
792,1
793,1
794,0
795,0
796,0
797,0
798,1
799,1
800,1
801,1
802,1
803,1
804,1
805,1
806,1
807,1
808,1
809,1
810,0
811,0
812,0
813,0
814,1
815,0
816,1
817,0
818,0
819,0
820,1
821,1
822,1
823,1
824,1
825,1
826,1
827,1
828,1
829,0
830,1
831,2
832,1
833,1
834,1
835,1
836,0
837,0
838,0
839,0
840,0
841,0
842,0
843,1
844,1
845,1
846,1
847,1
848,1
849,0
850,1
851,1
852,0
853,1
854,1
855,0
856,0
857,0
858,0
859,0
860,0
861,0
862,0
863,0
864,0
865,1
866,0
867,0
868,0
869,0
870,0
871,1
872,0
873,0
874,0
875,1
876,0
877,0
878,0
879,0
880,0
881,0
882,1
883,0
884,0
885,0
886,0
887,0
888,0
889,1
890,2
891,1
892,1
893,0
894,0
895,0
896,0
897,0
898,0
899,0
900,1
901,1
902,1
903,0
904,1
905,1
906,1
907,2
908,1
909,1
910,1
911,1
912,1
913,1
914,0
915,0
916,0
917,0
918,1
919,0
920,1
921,0
922,0
923,0
924,0
925,0
926,0
927,1
928,0
929,1
930,0
931,0
932,0
933,1
934,0
935,0
936,0
937,0
938,0
939,0
940,1
941,0
942,3
943,1
944,0
945,0
946,0
947,0
948,0
949,0
950,0
951,0
952,0
953,1
954,1
955,1
956,1
957,1
958,1
959,1
960,2
961,1
962,0
963,0
964,1
965,0
966,0
967,0
968,1
969,1
970,1
971,0
972,0
973,0
974,0
975,0
976,1
977,1
978,0
979,0
980,1
981,0
982,1
983,0
984,0
985,0
986,0
987,1
988,1
989,0
990,0
991,1
992,0
993,1
994,1
995,1
996,1
997,2
998,1
999,0
1000,0
1001,0
1002,1
1003,0
1004,1
1005,1
1006,0
1007,0
1008,0
1009,0
1010,1
1011,3
1012,1
1013,1
1014,0
1015,0
1016,0
1017,0
1018,0
1019,1
1020,1
1021,0
1022,1
1023,0
1024,0
1025,0
1026,1
1027,1
1028,0
1029,1
1030,0
1031,1
1032,1
1033,0
1034,0
1035,0
1036,1
1037,1
1038,0
1039,1
1040,0
1041,1
1042,2
1043,3
1044,1
1045,1
1046,1
1047,1
1048,1
1049,0
1050,0
1051,0
1052,0
1053,1
1054,1
1055,0
1056,0
1057,0
1058,0
1059,0
1060,0
1061,2
1062,1
1063,0
1064,0
1065,0
1066,1
1067,0
1068,0
1069,0
1070,0
1071,0
1072,0
1073,0
1074,1
1075,0
1076,1
1077,1
1078,0
1079,1
1080,1
1081,1
1082,0
1083,1
1084,0
1085,0
1086,0
1087,0
1088,0
1089,1
1090,0
1091,0
1092,0
1093,0
1094,1
1095,1
1096,1
1097,1
1098,1
1099,0
1100,1
1101,1
1102,1
1103,1
1104,0
1105,1
1106,1
1107,1
1108,0
1109,1
1110,0
1111,1
1112,1
1113,0
1114,1
1115,1
1116,1
1117,3
1118,1
1119,0
1120,1
1121,0
1122,1
1123,1
1124,0
1125,0
1126,0
1127,0
1128,0
1129,0
1130,0
1131,1
1132,0
1133,0
1134,0
1135,0
1136,0
1137,1
1138,0
1139,0
1140,1
1141,2
1142,1
1143,0
1144,0
1145,0
1146,1
1147,0
1148,0
1149,2
1150,1
1151,1
1152,1
1153,0
1154,0
1155,0
1156,0
1157,0
1158,0
1159,0
1160,0
1161,0
1162,1
1163,1
1164,0
1165,0
1166,0
1167,1
1168,0
1169,0
1170,1
1171,2
1172,1
1173,1
1174,1
1175,1
1176,1
1177,0
1178,0
1179,0
1180,0
1181,0
1182,0
1183,0
1184,1
1185,1
1186,1
1187,0
1188,0
1189,0
1190,0
1191,0
1192,0
1193,0
1194,0
1195,0
1196,0
1197,0
1198,1
1199,0
1200,0
1201,0
1202,0
1203,1
1204,0
1205,1
1206,2
1207,2
1208,1
1209,1
1210,1
1211,1
1212,0
1213,1
1214,1
1215,1
1216,1
1217,0
1218,1
1219,1
1220,0
1221,1
1222,2
1223,1
1224,0
1225,0
1226,1
1227,0
1228,0
1229,1
