,year,month,day,hour,Site Outdoor Air Drybulb Temperature(Environment),Site Outdoor Air Relative Humidity(Environment),Site Wind Speed(Environment),Site Wind Direction(Environment),Site Diffuse Solar Radiation Rate per Area(Environment),Site Direct Solar Radiation Rate per Area(Environment),Zone Thermostat Heating Setpoint Temperature(SPACE1-1),Zone Thermostat Cooling Setpoint Temperature(SPACE1-1),Zone Air Temperature(SPACE1-1),Zone Air Relative Humidity(SPACE1-1),Zone People Occupant Count(SPACE1-1),People Air Temperature(SPACE1-1 PEOPLE 1),Facility Total HVAC Electricity Demand Rate(Whole Building)
0,1997,1,1,0,4.4,65.0,3.875,145.0,0.0,0.0,15.0,30.0,19.59884771679171,25.01740820661536,0.0,0.0,618.6536390380958
1,1997,1,1,0,4.8,61.0,4.65,160.0,0.0,0.0,15.0,30.0,18.86235233651719,26.01610795005039,0.0,0.0,653.578516438058
2,1997,1,1,0,5.199999999999999,57.0,5.425000000000001,175.0,0.0,0.0,15.0,30.0,18.45629484382624,26.47796979079239,0.0,0.0,675.2131480223866
3,1997,1,1,1,5.6,53.0,6.2,190.0,0.0,0.0,15.0,30.0,18.00498291831,26.8232693868889,0.0,0.0,722.1514184014211
4,1997,1,1,1,5.35,54.25,6.050000000000001,192.5,0.0,0.0,15.0,30.0,17.78092819609603,26.89997598008382,0.0,0.0,817.4605792421096
5,1997,1,1,1,5.1,55.5,5.9,195.0,0.0,0.0,15.0,30.0,17.57805965092806,27.010649979211,0.0,0.0,904.8516792429797
6,1997,1,1,1,4.85,56.75,5.749999999999999,197.5,0.0,0.0,15.0,30.0,17.40216979682192,27.14289900805048,0.0,0.0,1003.989371086045
7,1997,1,1,2,4.6,58.0,5.6,200.0,0.0,0.0,15.0,30.0,17.2507102547906,27.2773570057429,0.0,0.0,1007.333142006072
8,1997,1,1,2,4.375,59.5,5.199999999999999,187.5,0.0,0.0,15.0,30.0,17.12587664688024,27.40945350137509,0.0,0.0,1007.333142006072
9,1997,1,1,2,4.15,61.0,4.8,175.0,0.0,0.0,15.0,30.0,17.02027907327287,27.53194056304568,0.0,0.0,1007.333142006072
10,1997,1,1,2,3.925,62.5,4.4,162.5,0.0,0.0,15.0,30.0,17.19134941024582,27.25259281017104,0.0,0.0,1007.333142006072
11,1997,1,1,3,3.7,64.0,4.0,150.0,0.0,0.0,15.0,30.0,17.2448889458094,27.17583790104035,0.0,0.0,1007.333142006072
12,1997,1,1,3,3.325,65.5,3.75,147.5,0.0,0.0,15.0,30.0,17.20433263980994,27.23354665814736,0.0,0.0,1007.333142006072
13,1997,1,1,3,2.95,67.0,3.5,145.0,0.0,0.0,15.0,30.0,17.1432642846996,27.32593285959202,0.0,0.0,1007.333142006072
14,1997,1,1,3,2.575,68.5,3.25,142.5,0.0,0.0,15.0,30.0,17.07787011653008,27.43150339682759,0.0,0.0,1007.333142006072
15,1997,1,1,4,2.2,70.0,3.0,140.0,0.0,0.0,15.0,30.0,17.00690460300854,27.54711084421407,0.0,0.0,1007.333142006072
16,1997,1,1,4,1.95,71.0,2.975,157.5,0.0,0.0,15.0,30.0,16.93207935999833,27.66764644124466,0.0,0.0,1017.333142006072
17,1997,1,1,4,1.7,72.0,2.95,175.0,0.0,0.0,15.0,30.0,16.85484406170334,27.79237979841295,0.0,0.0,1067.333142006072
18,1997,1,1,4,1.45,73.0,2.925,192.5,0.0,0.0,15.0,30.0,16.77574575454941,27.92122398774206,0.0,0.0,1117.333142006072
19,1997,1,1,5,1.2,74.0,2.9,210.0,0.0,0.0,15.0,30.0,16.69511381416099,28.05307075315208,0.0,0.0,1167.333142006072
20,1997,1,1,5,1.1,75.0,2.775,210.0,0.0,0.0,15.0,30.0,16.6179334724995,28.18066796155944,0.0,0.0,1187.333142006072
21,1997,1,1,5,1.0,76.0,2.65,210.0,0.0,0.0,15.0,30.0,16.54331977184171,28.30568620130341,0.0,0.0,1207.333142006072
22,1997,1,1,5,0.9000000000000001,77.0,2.525,210.0,0.0,0.0,15.0,30.0,16.47012042332561,28.42973743268291,0.0,0.0,1227.333142006072
23,1997,1,1,6,0.8,78.0,2.4,210.0,0.0,0.0,15.0,30.0,16.39815577712759,28.55303057981667,0.0,0.0,1247.333142006072
24,1997,1,1,6,0.9750000000000001,76.75,2.5,197.5,0.0,0.0,15.0,30.0,16.21951384821678,28.74373793018268,0.0,0.0,463.3823992640537
25,1997,1,1,6,1.15,75.5,2.6,185.0,0.0,0.0,15.0,30.0,16.09740361177496,28.78325238969149,0.0,0.0,428.3823992640537
26,1997,1,1,6,1.325,74.25,2.7,172.5,0.0,0.0,15.0,30.0,16.02706376361949,28.74080094735371,0.0,0.0,393.3823992640537
27,1997,1,1,7,1.5,73.0,2.8,160.0,0.0,0.0,15.0,30.0,15.97241189965912,28.68995925586545,0.0,0.0,358.3823992640537
28,1997,1,1,7,1.25,73.0,2.925,167.5,0.0,0.0,15.0,30.0,15.91201846211609,28.62534576590419,0.0,0.0,408.3823992640537
29,1997,1,1,7,1.0,73.0,3.05,175.0,1.0,133.0,15.0,30.0,15.85889591069634,28.60913262693158,0.0,0.0,458.3823992640537
30,1997,1,1,7,0.75,73.0,3.175,182.5,9.25,242.5,15.0,30.0,15.81983058005649,28.50766004596746,0.0,0.0,508.3823992640537
31,1997,1,1,8,0.5,73.0,3.3,190.0,17.5,352.0,15.0,30.0,15.80958988488079,28.3291690825873,0.0,0.0,558.3823992640537
32,1997,1,1,8,1.8,67.75,3.3,217.5,25.75,461.5,22.0,22.0,17.8562756743476,25.3757787929004,11.0,0.0,877.5577642477492
33,1997,1,1,8,3.1,62.5,3.3,245.0,34.0,571.0,22.0,22.0,19.27323715673395,23.8512503894858,11.0,0.0,858.7670250899662
