,year,month,day,hour,Site Outdoor Air Drybulb Temperature(Environment),Site Outdoor Air Relative Humidity(Environment),Site Wind Speed(Environment),Site Wind Direction(Environment),Site Diffuse Solar Radiation Rate per Area(Environment),Site Direct Solar Radiation Rate per Area(Environment),Zone Thermostat Heating Setpoint Temperature(SPACE1-1),Zone Thermostat Cooling Setpoint Temperature(SPACE1-1),Zone Air Temperature(SPACE1-1),Zone Air Relative Humidity(SPACE1-1),Zone People Occupant Count(SPACE1-1),People Air Temperature(SPACE1-1 PEOPLE 1),Facility Total HVAC Electricity Demand Rate(Whole Building)
0,1997,1,1,0,4.4,65.0,3.875,145.0,0.0,0.0,21.0,21.0,20.85245579021927,23.13223784525502,0.0,0.0,593.4675774482191
1,1997,1,1,0,4.8,61.0,4.65,160.0,0.0,0.0,22.0,22.0,20.79900968898508,23.02265231167605,0.0,0.0,593.6078534640612
2,1997,1,1,0,5.199999999999999,57.0,5.425000000000001,175.0,0.0,0.0,19.0,26.0,19.50062655375164,24.75908295959703,0.0,0.0,613.1072006202054
3,1997,1,1,1,5.6,53.0,6.2,190.0,0.0,0.0,22.0,22.0,20.00390977490181,23.7642111459966,0.0,0.0,625.8543585383807
4,1997,1,1,1,5.35,54.25,6.050000000000001,192.5,0.0,0.0,21.0,21.0,20.21642261892435,23.11687120094904,0.0,0.0,667.5579478653095
5,1997,1,1,1,5.1,55.5,5.9,195.0,0.0,0.0,22.0,23.0,20.25157593413823,22.79932554995498,0.0,0.0,687.0932663739771
6,1997,1,1,1,4.85,56.75,5.749999999999999,197.5,0.0,0.0,22.0,22.0,20.22206713479231,22.66890724216603,0.0,0.0,712.1150342619809
7,1997,1,1,2,4.6,58.0,5.6,200.0,0.0,0.0,22.0,22.0,20.17730926821476,22.6028800566862,0.0,0.0,740.3946774868273
8,1997,1,1,2,4.375,59.5,5.199999999999999,187.5,0.0,0.0,21.0,21.0,20.13033725166267,22.56884604610368,0.0,0.0,769.0784158237318
9,1997,1,1,2,4.15,61.0,4.8,175.0,0.0,0.0,22.0,23.0,20.08106085938538,22.55821600138037,0.0,0.0,798.4494539486036
10,1997,1,1,2,3.925,62.5,4.4,162.5,0.0,0.0,20.0,25.0,20.01433159651932,22.67437984978127,0.0,0.0,1007.333142006072
11,1997,1,1,3,3.7,64.0,4.0,150.0,0.0,0.0,21.0,21.0,20.47249090460312,22.05232893096036,0.0,0.0,1007.333142006072
12,1997,1,1,3,3.325,65.5,3.75,147.5,0.0,0.0,21.0,21.0,20.75583339368735,21.66600531619832,0.0,0.0,1007.333142006072
13,1997,1,1,3,2.95,67.0,3.5,145.0,0.0,0.0,21.0,24.0,20.88015715616879,21.49298983392396,0.0,0.0,1007.333142006072
14,1997,1,1,3,2.575,68.5,3.25,142.5,0.0,0.0,20.0,25.0,20.08536527742588,22.56828954131315,0.0,0.0,1007.333142006072
15,1997,1,1,4,2.2,70.0,3.0,140.0,0.0,0.0,21.0,21.0,20.34048167795878,22.20620198932803,0.0,0.0,1007.333142006072
16,1997,1,1,4,1.95,71.0,2.975,157.5,0.0,0.0,21.0,24.0,20.62443913829441,21.81569688183577,0.0,0.0,1017.333142006072
17,1997,1,1,4,1.7,72.0,2.95,175.0,0.0,0.0,22.0,23.0,20.79162799726511,21.5837920324837,0.0,0.0,1067.333142006072
18,1997,1,1,4,1.45,73.0,2.925,192.5,0.0,0.0,21.0,21.0,20.85833393555871,21.48661675765817,0.0,0.0,1117.333142006072
19,1997,1,1,5,1.2,74.0,2.9,210.0,0.0,0.0,22.0,22.0,20.89409322091273,21.43112430819323,0.0,0.0,1167.333142006072
20,1997,1,1,5,1.1,75.0,2.775,210.0,0.0,0.0,21.0,21.0,20.92726574849382,21.38065225987644,0.0,0.0,1187.333142006072
21,1997,1,1,5,1.0,76.0,2.65,210.0,0.0,0.0,22.0,22.0,20.95703214335814,21.33558164702536,0.0,0.0,1207.333142006072
22,1997,1,1,5,0.9000000000000001,77.0,2.525,210.0,0.0,0.0,21.0,21.0,20.98018207032142,21.2997207914786,0.0,0.0,1227.333142006072
23,1997,1,1,6,0.8,78.0,2.4,210.0,0.0,0.0,21.0,21.0,20.9964853549951,21.27353554462505,0.0,0.0,1247.333142006072
24,1997,1,1,6,0.9750000000000001,76.75,2.5,197.5,0.0,0.0,21.0,21.0,20.8088525342228,21.42934228628355,0.0,0.0,463.3823992640537
25,1997,1,1,6,1.15,75.5,2.6,185.0,0.0,0.0,22.0,22.0,20.69531447938936,21.4553745707793,0.0,0.0,428.3823992640537
26,1997,1,1,6,1.325,74.25,2.7,172.5,0.0,0.0,22.0,23.0,20.6486685148384,21.40111400403733,0.0,0.0,393.3823992640537
27,1997,1,1,7,1.5,73.0,2.8,160.0,0.0,0.0,22.0,22.0,20.61961041907569,21.33647841868947,0.0,0.0,358.3823992640537
28,1997,1,1,7,1.25,73.0,2.925,167.5,0.0,0.0,21.0,21.0,20.57956690054487,21.26651284594536,0.0,0.0,408.3823992640537
29,1997,1,1,7,1.0,73.0,3.05,175.0,1.0,133.0,21.0,21.0,20.54055459166655,21.23539185140341,0.0,0.0,458.3823992640537
30,1997,1,1,7,0.75,73.0,3.175,182.5,9.25,242.5,21.0,21.0,20.51246872409318,21.11144415914653,0.0,0.0,508.3823992640537
31,1997,1,1,8,0.5,73.0,3.3,190.0,17.5,352.0,22.0,22.0,20.51925324419983,20.97190877370913,0.0,0.0,574.2859652193958
32,1997,1,1,8,1.8,67.75,3.3,217.5,25.75,461.5,21.0,21.0,20.95566932313722,21.35108196232005,11.0,0.0,898.7670250899664
33,1997,1,1,8,3.1,62.5,3.3,245.0,34.0,571.0,17.0,27.99999999999999,20.38427069065596,22.89867550811172,11.0,0.0,837.557764247749
34,1997,1,1,8,4.4,57.25,3.3,272.5,41.5,605.75,19.0,26.0,20.33346766701182,23.52304404728179,11.0,0.0,850.2833207530795
35,1997,1,1,9,5.7,52.0,3.3,300.0,49.0,640.5,16.0,29.0,20.47682195821443,23.80108359706585,11.0,0.0,837.5577642477492
36,1997,1,1,9,6.0,50.75,3.649999999999999,295.0,56.5,675.25,18.0,27.0,20.97569698805912,23.93199237507335,11.0,0.0,858.7670250899664
37,1997,1,1,9,6.300000000000001,49.5,4.0,290.0,64.0,710.0,19.0,26.0,21.35051975225182,23.72950553871195,11.0,0.0,858.7670250899663
38,1997,1,1,9,6.600000000000001,48.25,4.350000000000001,285.0,76.25,707.75,16.0,29.0,21.7508112924048,23.88311525746997,11.0,0.0,858.7670250899663
39,1997,1,1,10,6.9,47.0,4.7,280.0,88.5,705.5,18.0,27.0,22.03255679362933,23.72189265330538,11.0,0.0,858.7670250899664
40,1997,1,1,10,7.65,46.25,5.100000000000001,240.0,100.75,703.25,16.0,29.0,22.43728451407245,23.81716345531613,11.0,0.0,858.7670250899664
41,1997,1,1,10,8.4,45.5,5.5,200.0,113.0,701.0,18.0,27.0,22.80851424796541,23.94418851168446,11.0,0.0,818.2989175993976
42,1997,1,1,10,9.15,44.75,5.899999999999999,160.0,112.25,748.75,22.0,23.0,22.98482123005537,24.15641981575462,11.0,0.0,847.6353838174552
43,1997,1,1,11,9.9,44.0,6.3,120.0,111.5,796.5,17.0,28.0,23.54074028368192,23.9988760266805,11.0,0.0,693.7475033986445
44,1997,1,1,11,10.625,41.5,6.399999999999999,120.0,110.75,844.25,16.0,29.0,24.14473117104899,23.78445053302995,8.8,0.0,541.5377476540541
45,1997,1,1,11,11.35,39.0,6.5,120.0,110.0,892.0,21.0,24.0,24.04069824800369,23.63843934316241,8.8,0.0,701.4418060876877
46,1997,1,1,11,12.075,36.5,6.600000000000001,120.0,121.5,846.75,22.0,23.0,24.0797489462343,22.85828549303542,8.8,0.0,1007.333142006072
47,1997,1,1,12,12.8,34.0,6.7,120.0,133.0,801.5,22.0,23.0,24.334776021936,22.042650336302,8.8,0.0,1007.333142006072
48,1997,1,1,12,13.125,33.25,6.7,100.0,144.5,756.25,19.0,26.0,25.53013689185018,20.56317412874682,4.4,0.0,245.2408190386939
49,1997,1,1,12,13.45,32.5,6.7,80.0,156.0,711.0,21.0,21.0,25.19764401766225,20.0576820494058,4.4,0.0,1007.333142006072
50,1997,1,1,12,13.775,31.75,6.7,60.0,135.0,776.25,22.0,22.0,25.32623202676258,19.2273865785232,4.4,0.0,1007.333142006072
51,1997,1,1,13,14.1,31.0,6.7,40.0,114.0,841.5,22.0,23.0,25.63649862638677,17.85851962362723,4.4,0.0,1007.333142006072
