,time_overhead
0,1
1,2
2,2
3,1
4,1
5,1
6,0
7,1
8,1
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,1
18,0
19,1
20,1
21,0
22,0
23,1
24,0
25,0
26,1
27,0
28,1
29,0
30,0
31,0
32,0
33,0
34,1
35,0
36,0
37,0
38,3
39,1
40,1
41,0
42,1
43,0
44,0
45,0
46,0
47,1
48,1
49,1
50,0
51,0
52,0
53,1
54,0
55,0
56,0
57,0
58,2
59,0
60,0
61,0
62,0
63,0
64,1
65,1
66,0
67,0
68,0
69,0
70,0
71,0
72,1
73,0
74,1
75,0
76,0
77,0
78,0
79,0
80,0
81,0
82,0
83,1
84,0
85,0
86,0
87,0
88,0
89,0
90,0
91,1
92,2
93,1
94,1
95,0
96,0
97,1
98,1
99,1
100,0
101,1
102,0
103,0
104,0
105,1
106,1
107,0
108,1
109,0
110,0
111,0
112,0
113,1
114,2
115,1
116,0
117,0
118,0
119,0
120,0
121,0
122,0
123,0
124,0
125,0
126,0
127,1
128,0
129,0
130,0
131,0
132,0
133,0
134,0
135,0
136,0
137,1
138,0
139,0
140,0
141,0
142,0
143,0
144,0
145,2
146,1
147,0
148,0
149,0
150,0
151,0
152,0
153,1
154,1
155,1
156,0
157,0
158,0
159,1
160,0
161,0
162,0
163,0
164,0
165,1
166,1
167,1
168,1
169,1
170,0
171,0
172,1
173,0
174,1
175,0
176,0
177,0
178,1
179,1
180,1
181,0
182,1
183,0
184,0
185,0
186,0
187,0
188,0
189,0
190,1
191,1
192,0
193,0
194,1
195,0
196,0
197,0
198,0
199,1
200,1
201,1
202,1
203,1
204,1
205,1
206,1
207,1
208,0
209,0
210,1
211,1
212,1
213,1
214,1
215,0
216,0
217,0
218,0
219,0
220,2
221,1
222,2
223,0
224,0
225,0
226,0
227,0
228,0
229,0
230,0
231,1
232,0
233,0
234,1
235,2
236,0
237,0
238,0
239,0
240,0
241,0
242,0
243,0
244,1
245,0
246,0
247,1
248,0
249,0
250,1
251,1
252,1
253,0
254,0
255,0
256,0
257,1
258,0
259,0
260,1
261,1
262,1
263,1
264,0
265,1
266,1
267,1
268,1
269,1
270,1
271,0
272,0
273,1
274,1
275,1
276,0
277,0
278,0
279,1
280,1
281,1
282,0
283,1
284,1
285,0
286,1
287,1
288,1
289,0
290,0
291,0
292,0
293,1
294,1
295,0
296,0
297,0
298,0
299,0
300,0
301,0
302,0
303,0
304,0
305,0
306,1
307,2
308,1
309,1
310,1
311,1
312,0
313,1
314,1
315,1
316,0
317,0
318,0
319,0
320,0
321,1
322,1
323,1
324,1
325,1
326,0
327,0
328,0
329,1
330,1
331,1
332,0
333,1
334,1
335,0
336,0
337,1
338,1
339,1
340,1
341,1
342,0
343,0
344,0
345,0
346,0
347,0
348,0
349,0
350,1
351,1
352,0
353,0
354,0
355,1
356,1
357,1
358,1
359,1
360,1
361,0
362,0
363,0
364,0
365,0
366,0
367,1
368,2
369,1
370,0
371,1
372,1
373,1
374,1
375,0
376,1
377,0
378,0
379,0
380,0
381,0
382,0
383,2
384,1
385,0
386,1
387,1
388,0
389,0
390,0
391,0
392,0
393,0
394,0
395,1
396,0
397,0
398,1
399,0
400,0
401,1
402,1
403,0
404,1
405,1
406,0
407,1
408,1
409,0
410,0
411,0
412,0
413,0
414,1
415,1
416,2
417,1
418,0
419,1
420,0
421,0
422,0
423,1
424,0
425,0
426,0
427,0
428,0
429,1
430,0
431,1
432,0
433,0
434,0
435,0
436,0
437,0
438,0
439,0
440,1
441,2
442,0
443,1
444,0
445,0
446,0
447,1
448,0
449,1
450,0
451,1
452,1
453,1
454,1
455,0
456,0
457,1
458,0
459,0
460,0
461,0
462,1
463,1
464,0
465,1
466,0
467,1
468,1
469,1
470,0
471,0
472,0
473,0
474,1
475,1
476,1
477,0
478,0
479,0
480,0
481,0
482,0
483,0
484,0
485,1
486,1
487,0
488,0
489,0
490,0
491,0
492,1
493,1
494,1
495,2
496,1
497,0
498,0
499,0
500,0
501,0
502,1
503,1
504,0
505,1
506,1
507,1
508,0
509,0
510,1
511,1
512,0
513,0
514,1
515,1
516,1
517,1
518,1
519,1
520,0
521,0
522,0
523,0
524,0
525,1
526,1
527,1
528,1
529,0
530,0
531,0
532,0
533,0
534,0
535,0
536,0
537,0
538,0
539,1
540,1
541,0
542,0
543,0
544,0
545,0
546,0
547,0
548,0
549,1
550,1
551,0
552,1
553,1
554,0
555,0
556,0
557,0
558,1
559,1
560,0
561,0
562,0
563,1
564,1
565,0
566,0
567,0
568,0
569,0
570,0
571,0
572,0
573,0
574,0
575,0
576,0
577,0
578,1
579,1
580,1
581,1
582,1
583,1
584,1
585,0
586,1
587,0
588,0
589,0
590,0
591,0
592,0
593,0
594,0
595,0
596,1
597,1
598,1
599,0
600,0
601,0
602,1
603,1
604,0
605,1
606,1
607,1
608,1
609,0
610,1
611,1
612,0
613,0
614,0
615,1
616,1
617,0
618,0
619,0
620,0
621,1
622,1
623,1
624,0
625,0
626,0
627,0
628,0
629,0
630,0
631,0
632,1
633,2
634,1
635,0
636,1
637,0
638,0
639,0
640,0
641,0
642,0
643,0
644,0
645,1
646,0
647,0
648,0
649,0
650,0
651,0
652,0
653,0
654,0
655,0
656,0
657,1
658,1
659,0
660,0
661,0
662,0
663,0
664,0
665,0
666,0
667,0
668,1
669,2
670,0
671,0
672,0
673,1
674,0
675,0
676,0
677,0
678,1
679,0
680,0
681,0
682,0
683,0
684,0
685,1
686,0
687,0
688,0
689,0
690,0
691,0
692,0
693,1
694,1
695,2
696,0
697,1
698,0
699,0
700,1
701,0
702,0
703,1
704,1
705,1
706,0
707,0
708,0
709,1
710,1
711,0
712,1
713,0
714,0
715,0
716,0
717,0
718,0
719,1
720,2
721,1
722,1
723,0
724,1
725,1
726,1
727,1
728,0
729,0
730,0
731,0
732,1
733,0
734,0
735,1
736,1
737,0
738,0
739,0
740,0
741,1
742,1
743,1
744,1
745,0
746,0
747,0
748,0
749,0
750,0
751,0
752,0
753,0
754,1
755,2
756,1
757,1
758,1
759,1
760,1
761,0
762,0
763,1
764,0
765,1
766,0
767,0
768,0
769,0
770,1
771,1
772,0
773,0
774,0
775,0
776,1
777,0
778,0
779,0
780,0
781,0
782,0
783,0
784,0
785,0
786,0
787,0
788,0
789,0
790,0
791,0
792,0
793,0
794,0
795,0
796,1
797,2
798,1
799,0
800,0
801,0
802,1
803,1
804,1
805,0
806,1
807,0
808,0
809,1
810,0
811,1
812,0
813,0
814,0
815,0
816,0
817,0
818,0
819,0
820,0
821,0
822,0
823,0
824,0
825,0
826,0
827,0
828,0
829,0
830,0
831,0
832,0
833,2
834,1
835,1
836,0
837,0
838,0
839,0
840,0
841,0
842,0
843,0
844,0
845,1
846,1
847,1
848,0
849,0
850,0
851,0
852,0
853,2
854,1
855,0
856,0
857,1
858,0
859,0
860,0
861,0
862,0
863,0
864,1
865,0
866,0
867,0
868,0
869,0
870,0
871,0
872,0
873,0
874,0
875,0
876,0
877,0
878,0
879,1
880,0
881,0
882,0
883,0
884,0
885,0
886,1
887,0
888,0
889,1
890,0
891,0
892,0
893,0
894,0
895,0
896,0
897,0
898,1
899,0
900,2
901,1
902,1
903,1
904,0
905,0
906,1
907,1
908,1
909,1
910,1
911,1
912,0
913,1
914,2
915,1
916,0
917,0
918,1
919,1
920,0
921,1
922,1
923,1
924,0
925,1
926,1
927,1
928,1
929,1
930,0
931,1
932,1
933,1
934,0
935,0
936,0
937,0
938,0
939,0
940,1
941,0
942,1
943,1
944,0
945,0
946,0
947,0
948,1
949,1
950,1
951,1
952,0
953,0
954,0
955,1
956,0
957,0
958,0
959,0
960,0
961,0
962,0
